Product,Rating,Review,Sentiment
Motorola Edge 50 Pro 5G,4,"Reviewing after 2days of using Moto Edge 50pro (125W, 12gb RAM variant) -

Display - 10/10
Battery - 8/10
Camera - 8/10
Charging - 9/10

Pros -
Light weight, premiumness, flagship features

Cons-
Lots of heating issues while charging, booting, long time scrolling, Battery drains little quick as expected.

Charging speed(125W):
0-50% in 11min
0-80% in 20mins
0-100% in 29mins.

This phone is very good as per the specs provided. You can go for it. I hope heating issues will be resolved in future updates.

Everything depends on usage and P2P, the above views are my observations and may differ.",Positive
Motorola Edge 50 Pro 5G,4,"Just received my moto edge 50 pro yesterday. Look wise mobile is very good.
All accessories were in the box, although the back cover is kind of useless.
The 125W charger is charging mobile fast as advertised by moto.
As of now the performance looks great. Camera is great specially front camera. Colors are quite realistic.
I've given 4 star as of now, will update my review after few weeks of use.",Positive
Motorola Edge 50 Pro 5G,4,"Overall very decent product. Great work by Motorola team. Camera, display, design is very good. One can definitely go for buying it. Only observation is while charging with 125 watt charger,phone gets really heated up. Rest is fine. Ask me in case of any query.",Positive
Motorola Edge 50 Pro 5G,5,Very nice camera,Positive
Motorola Edge 50 Pro 5G,5,"Awesome display nd camera 💯
Battery performance r also good💯
Jst loved this phone ❤️",Positive
Motorola Edge 50 Pro 5G,5,"Light weight, premium design and great camera",Positive
Motorola Edge 50 Pro 5G,5,"After 4 Days of Usage the Phone is awesome in this Price range with Superb Camera features
Need little improvement in camera especially in AI but Clarity is awesome feeling little lag when transferring photos also there is a frame drop feel while shooting vedio hope Motorola will rectify all small issues in next update
Anyway happy in this product",Positive
Motorola Edge 50 Pro 5G,4,"Phone is temperature 🌡️ high.
Using the phone first I noticed phone is heavy heating",Neutral
Motorola Edge 50 Pro 5G,5,"Super camera
Love you moto....,..................",Positive
Motorola Edge 50 Pro 5G,5,"Awesome phone, Awesome quality picture, display...Just Buy it..",Positive
Motorola Edge 50 Pro 5G,5,"Unique design. Moto has done a fabulous job.
Price really justifies it's specifications.

Unique Specifications-
1- . 125W fast charge.
2- IP68 rating.
3- Pantone validated camera and display.
4- 50W wireless charging.
5- 144hz display.
and many more..",Positive
Motorola Edge 50 Pro 5G,5,"The beautiful beast is here!

Well, Moto has just nailed it. The first impressions are so good.

Beautiful:
1. The phone looks gorgeous in the hand.
2. Its slim and Bezel-less curved display makes it look ultra premium.
3. The back of the phone has got a velvet finish which makes it Scratch proof.

Beast:
1. The battery is insane. It lasted for 1.5 days easily for me with hotspot on and heavy usage. Moreover it charges completely in 30 min with the 125W charger given with the 12gb variant.

2. The performance is as smooth as my girlfriend's skin.

3. The camera details are crazy. Here's Einstein (my dog-baby and TailBlaze co-founder) in the photo. The setting was low-light but the details are crazy.
4. Wireless charging worked pretty smooth in my car and the speaker is insanely loud and clear.
5. Network reception is great too!

I mean this is the best phone I have ever put my hands on in this price range out of the 100 phones I have reviewed.

Kudos to Team Moto!",Positive
Motorola Edge 50 Pro 5G,4,Who are all looking for buy this mobile great decision you can buy best mobile ever this price segment very much impressed moto❤️,Positive
Motorola Edge 50 Pro 5G,5,The phone is good but the Flipkart service is worse .,Negative
Motorola Edge 50 Pro 5G,5,"I had moto edge 20 previously, it is a great update overall. Although moto has done a phenomenal job with the camera this time, they should also keep update cycles in mind this time.
Still the camera needs some optimisation, it feels slower during processing of images. Don't step back seeing it's ufs 2.2, it is well optimised and supersedes its competitors. Well built phone for the price point.
Although I had one complaint from moto that I didn't get any pre applied scratch guard on the phone, instead a scratch guard was provided in the box for self application, maybe this was a case with my unit only, so moto should address that in future shipments too.",Positive
Motorola Edge 50 Pro 5G,5,"Mind Blowing product.,. Such a terrific quality 💯 camera quality is awesome 😎",Positive
Motorola Edge 50 Pro 5G,5,"I have been using this mobile for the last 6 days and overall I am very Happy with this mobile.

1. Design: The design is very eye-catching and, feels very good and confident to hold in hand.

2. Camera: Camera set up is really awesome and best in this segment. I was impressed with the night photography. The best cameras.

3. Screen: Very impressive screen, eye comfort, and curved screen gives a very unique look to the phone.

4. Battery: Battery back is good for one full day by keeping the internet all the time on. I especially want to talk about a 125W charger which really charges mobile in less time.

I am really happy with this mobile and recommend buying it.",Positive
Motorola Edge 50 Pro 5G,3,"The phone gets warm sometimes. Especially after the 1st boot up it got very hot. Also it gets warm when installing any app.
Charging drops really fast even when you are playing less cpu/gpu intensive games. Even watching vids will reduce ur battery fast. The phone heating issue is kinda weird, it gets hot sometimes over the smallest of the tasks and sometimes it won't.
If u use ur phone very less, the charge will probably stay for 1 or 2 days but that less of a
usage is not possible nowadays.
Given that Overheating and battery optimisation issues many reviewers are reporting, I hope they are fixable by software updates.
It's really annoying that none of the YT reviewers mentioned these issues.",Positive
Motorola Edge 50 Pro 5G,3,"Superb Design
Trendy Look
Decent Display
Fast Charger
All these are good...

But Heating Issue makes it hard to Hold... Immediate bug fix needed...",Positive
Motorola Edge 50 Pro 5G,4,Very good performance,Positive
Motorola Edge 50 Pro 5G,4,"The design is good, the battery draining too fast, heating issues",Positive
Motorola Edge 50 Pro 5G,4,"Camera awesome
Zoom fantastic

24 min to 20 min full charge

Some heating issue but am continuously use mobile
12.30 to 6.30
24% remaining battery 4500 but osm as this capacity

Performance superb
As this budget phone

Charge very fast",Positive
Motorola Edge 50 Pro 5G,5,Overall a decent product.needs to improve front camera,Positive
Motorola Edge 50 Pro 5G,5,Over all 10/9,Neutral
