Product,Rating,Review
Motorola Edge 50 Pro 5G,4,"Reviewing after 2days of using Moto Edge 50pro (125W, 12gb RAM variant) -

Display - 10/10
Battery - 8/10
Camera - 8/10
Charging - 9/10

Pros -
Light weight, premiumness, flagship features

Cons-
Lots of heating issues while charging, booting, long time scrolling, Battery drains little quick as expected.

Charging speed(125W):
0-50% in 11min
0-80% in 20mins
0-100% in 29mins.

This phone is very good as per the specs provided. You can go for it. I hope heating issues will be resolved in future updates.

Everything depends on usage and P2P, the above views are my observations and may differ."
Motorola Edge 50 Pro 5G,4,"Just received my moto edge 50 pro yesterday. Look wise mobile is very good.
All accessories were in the box, although the back cover is kind of useless.
The 125W charger is charging mobile fast as advertised by moto.
As of now the performance looks great. Camera is great specially front camera. Colors are quite realistic.
I've given 4 star as of now, will update my review after few weeks of use."
Motorola Edge 50 Pro 5G,4,"Overall very decent product. Great work by Motorola team. Camera, display, design is very good. One can definitely go for buying it. Only observation is while charging with 125 watt charger,phone gets really heated up. Rest is fine. Ask me in case of any query."
Motorola Edge 50 Pro 5G,5,Very nice camera
Motorola Edge 50 Pro 5G,5,"Awesome display nd camera 💯
Battery performance r also good💯
Jst loved this phone ❤️"
Motorola Edge 50 Pro 5G,5,"Light weight, premium design and great camera"
Motorola Edge 50 Pro 5G,5,"After 4 Days of Usage the Phone is awesome in this Price range with Superb Camera features
Need little improvement in camera especially in AI but Clarity is awesome feeling little lag when transferring photos also there is a frame drop feel while shooting vedio hope Motorola will rectify all small issues in next update
Anyway happy in this product"
Motorola Edge 50 Pro 5G,4,"Phone is temperature 🌡️ high.
Using the phone first I noticed phone is heavy heating"
Motorola Edge 50 Pro 5G,5,"Super camera
Love you moto....,.................."
Motorola Edge 50 Pro 5G,5,"Awesome phone, Awesome quality picture, display...Just Buy it.."
Motorola Edge 50 Pro 5G,5,"Unique design. Moto has done a fabulous job.
Price really justifies it's specifications.

Unique Specifications-
1- . 125W fast charge.
2- IP68 rating.
3- Pantone validated camera and display.
4- 50W wireless charging.
5- 144hz display.
and many more.."
