Product,Rating,Review
OnePlus 11R 5G,5,Awesome phone
OnePlus 11R 5G,5,What else we can ask for. The perfect phone with superb camera and performance. Appreciate Flipkart for providing great offers.
OnePlus 11R 5G,5,"Very nice camera , Battery back up good, Looking so beautiful,His amazing product, faster charging so amazing , I love this phone"
OnePlus 11R 5G,5,Amazing 😍
OnePlus 11R 5G,5,Satisfied product... Value for money 💰
OnePlus 11R 5G,5,awesome mobile 👌👌👌👌👌🎉🎉🥳👏
OnePlus 11R 5G,5,Picture quality and phone colour etc is very Good...and phone performance is 1st class battery performance also very Good and charge fast total 10 to 20 min totally charges
OnePlus 11R 5G,5,"Real awesome smart phone in the Range.
Everything is the awesome 😎"
OnePlus 11R 5G,4,"A great value for money device by OnePlus
Awesome experience awesome camera and performance and battery backup + charging is unmatchable."
OnePlus 11R 5G,4,"Really good,"
OnePlus 11R 5G,5,OnePlus 11r 5g are best phone
OnePlus 11R 5G,4,"I have purchased OnePlus 11R 16GB ram but mobile hang sometimes, and 100 watt charger is amazing, camera is perfect"
OnePlus 11R 5G,4,Recommended product.
OnePlus 11R 5G,5,📲📱 best in the year
OnePlus 11R 5G,5,Best phone in this segment.. thanks Flipkart 😊
OnePlus 11R 5G,5,"It's an awesome product..
Display is awesome.
Performance wise too good.
According to me this is oneplus one of the best product.
I was planned for Google pixel 7a but my mind change after saw this handset... I am very happy with this product.
As usual seeing oneplus before it's too upgraded and modified.
Performance wise too fast as expected."
OnePlus 11R 5G,5,"I'm give the Review after 15 day and I'm feel very good this phone camera quality is very nice , battery, also and curve display is awesome, thanks to OnePlus 😊"
OnePlus 11R 5G,4,Nice mobile
OnePlus 11R 5G,4,Nice one
OnePlus 11R 5G,5,Excellent Phone satisfied with one plus this time
OnePlus 11R 5G,4,Oneplus is the best mobile and it is better than Vivo mobile
OnePlus 11R 5G,4,I'm writing this review after 1 month of experience let's get to the point if you are a hardcore gamer stay away from this device yeah 8+ gen 1 not giving it peek performance in this device.. and the camera it's good details is very very good... The display is just awesome you can watch Netflix in HDR 10+.. and the battery you can see in pic BTW I didn't charge 100% battery it's from 86%
OnePlus 11R 5G,5,"Camera Superb, Display Is Amazing. Overall A Great Phone On This Budget Segment."
OnePlus 11R 5G,4,Beautiful selfie and rear
OnePlus 11R 5G,4,"1.I didn't expect the display was really awesome with 1.5k resolution.
2.Main 50MP Camera is performing great.others are 8+2 performs decent.
3.Battery is very good it comes with 5000mah and 100w fast charging really superb.It gives 7 to 8 hrs screen on time.
4.Proccessor is really cool.It runs any application easily without any lags.
5.Design is one of the major highlight of this phone.Really Excellent design."
OnePlus 11R 5G,5,"Fully satisfied with the product. It is a true flagship killer phone. Main Camera is very good but other two cameras are average. Photos in daylight as well as in night are great. I would rate camera 4 out of 5.

Performance is top notch with snapdragon 8 gen 1 processor. I would rate processor 4.5 out of 5.

Battery backup is great. It lasts almost a day with moderate usage. I would rate battery 4.7 out of 5

Charging is awesome. 100 watt charger fully charges the phone in around half an hour. I would rate charging speed 5 out of 5.

Built quality is great. But back panel is slippery so back cover is essential.

Display of the phone is very bright and crisp. I would rate it 5 out of 5.

I would suggest everyone to buy this smartphone if one would compromise somewhat with secondary cameras."
OnePlus 11R 5G,5,Very good
OnePlus 11R 5G,4,Best picture
OnePlus 11R 5G,5,One of the Best in Android
OnePlus 11R 5G,5,Camera 🤳📸 super performance good not beast display ultimate and battery life also good 👍
OnePlus 11R 5G,5,Best flagship phone one plus 11 r ..No doubt it is best of the best
OnePlus 11R 5G,5,Very good
OnePlus 11R 5G,4,Battery life is good and camera is ok not up to the mark a decent one
OnePlus 11R 5G,3,Just go for it...
OnePlus 11R 5G,5,Mind Blowing product from OnePlus side Just speechless for Haptic Feedback And Recommended For Everyone who deserve the Best Performance device 🔥💯
OnePlus 11R 5G,4,Nice phone ! Can go for it 👍
OnePlus 11R 5G,5,Excellent phone .go with it 🔥💯
OnePlus 11R 5G,5,Good Performance
OnePlus 11R 5G,5,Super good
OnePlus 11R 5G,5,"I can tell you this after six months of use. That mobile is great. Be it in terms of camera or in terms of performance, it is great in every aspect. ❤️❤️"
OnePlus 11R 5G,4,"The best processor i have ever seen in this mobile . Performance was best and i brought only seeing the processor. If you want to store high data this phone will be the best. No lag issues.
I am dissatisfied with battery life since it consumes a high amount of battery though using for 4 to 5 hrs continuously as it is new.its too much smooth and charging is so fast. If you see any lag issue in any app then it might be an bug in that app but not the mobile fault"
OnePlus 11R 5G,5,Super photo and video hosting
OnePlus 11R 5G,5,Nice
OnePlus 11R 5G,5,This is a very good phone. I got this phone at a very low price. The camera is amazing. The battery is also amazing. The performance is also best. Everyone is requested to please buy this product without thinking. Thank you.
OnePlus 11R 5G,5,Worth uh parama .. worth aeeee....
OnePlus 11R 5G,5,Very good product
OnePlus 11R 5G,5,Working is best smart phone 📱 but camera module is small wike..
OnePlus 11R 5G,5,Awesome phone and best performance.
OnePlus 11R 5G,5,Just amazing 😍...
OnePlus 11R 5G,5,Nice phone with nice camera clarity
OnePlus 11R 5G,5,Excellent camera performance..... Good optimisation in battery back up.... excellent performance... Lovable design
OnePlus 11R 5G,4,Feels like battery drains fast..
OnePlus 11R 5G,5,Amazing product
OnePlus 11R 5G,4,VALUE FOR MONEY PRODUCT BUT IF YOU NEED PROPER PROFESSIONAL PHOTOGRAPHY THEN RECOMMENDED THE VIVO MOBILES THE VIVO X SERIES I
OnePlus 11R 5G,5,Nyc products
OnePlus 11R 5G,3,"Hardware specs are fantastic . Great display ,
fast performance ,
battery holds up pretty well
Good camera
The reason for a 3 star rating is the software .
Coming from a Samsung phone this UI does not feel premium tbh . I have a few issues with it
- the notifications panel is a big inconvenience . You cannot drag to collapse or expand . You have to click the tiny down arrow on the corner of the notification. Google news does display properly on the notification panel .
Swiping right clears the notification but sweeping left doesn't . If swiping left you have to do it twice to clear
- 15s skip forward on spotify doesn't skip forward when on lockscreen . It rewinds 15s
- colour picker from wallpaper doesn't seem to work properly . It does not matter which points you choose only one colour gets applied everywhere

Just mentioning some issues i have been facing . Stuff you cannot find on a spec sheet . Hope they fix all these in the upcoming updates"
OnePlus 11R 5G,5,Excellent Camera Very Good Performance Simply Awesome 👌
OnePlus 11R 5G,5,Camera is not upto the mark. Apart from that everything is fine. Overall it's a good phone. 😍
OnePlus 11R 5G,5,"I have been using it for 3-4 days now the camera is the quality I wanted
Performance is also a good display is amazing
Go ahead"
OnePlus 11R 5G,5,Best Phone under 40k
OnePlus 11R 5G,5,Awesome Mobile Very Smooth and Camera Quality good.
OnePlus 11R 5G,5,OnePlus 11R 5G . Money value mobile camera 🤳 was outstanding performance and batter also so good backup and important charging very fast charging
OnePlus 11R 5G,5,Best premium Smartphone
OnePlus 11R 5G,5,Super Camera
OnePlus 11R 5G,5,Everything all over performance is superb
OnePlus 11R 5G,4,I love this phone 😍
OnePlus 11R 5G,5,Night mode is osm
OnePlus 11R 5G,5,Phone is good .I m using this phone last 2 months .everything is good ..
OnePlus 11R 5G,5,"Excellent phone with good bettey backup, screen resolution quality is perfect, camera quality perfect overall worth it for your money"
