Product,Rating,Review
POCO_X6_Pro 5G,5,"Overall good phone
1- good sound quality 5/5
2- good display 5/5
3- decant camera 3/5 (not bad much better then average but don't expect like Samsung's and iPhones like)
4- good battery 5000mah 4/5 (quite good battery backup fast charging out of the box)
5- good processor mdt dimensity 8300 ultra 5/5 ( gaming beast lag free on every game like bgmi/ cod/ mlbb/ Genshin Impact / coc idk other game i play only this 5games daily).
[LPDDR 5x and ufsufs4 storage, game turbo mode, and Wild Boost 2.0, providing a smooth gaming experience with high graphics and memory management ]
Phone heat slightly while gaming not much but very ligh, camera could have been better thats all.
NO PHONE CAN BEAT POCO X6PRO at the price of under 30k, (HIGHLIGHT it gives 12gb512gb, LPDDR5x UFs4, 1.5k AMOLED display, duel stereo speakers with Dolby atoms). Everything is perfect"
POCO_X6_Pro 5G,5,This is a true flagship killer
POCO_X6_Pro 5G,5,"Probably the 1st to Review, about the phone I have no words to describe as it says it is a flagship killer, Poco has offered their customers to experience a premium like phone as of Samsung S series. The performance and the display of the phone is just awesome. The only con of the phone is its camera, rest if anyone is looking for gaming and multitasking phones then there is no other option than buying a Poco X6 Pro."
POCO_X6_Pro 5G,5,"Very strong performance phone. Good for medium usage. Gaming and Office work is more suitable. Camera is normal.
Virtual Proximity Sensor is a disaster. Keep in mind if you are serious about it."
POCO_X6_Pro 5G,5,GooD Product
POCO_X6_Pro 5G,4,"Camera lover don't buy this phone.

Game lover must go with this...."
POCO_X6_Pro 5G,4,Ok but when I will charge the phone but full heated. overall I like it .gaming performance is awesome
POCO_X6_Pro 5G,4,"After usage of 10 days my opinion towards this phone is that it truly justifies the budget. Performance is flawless. Network connectivity 5g very good. Auto switches between 4g to 5g. Display is good and 120hz works well. Media consumption will never disappoint you. HDR 10+ works fine. Yes, Curved display is missing. Sound output is loud and clear and performs better than realme phones. Gaming... No doubt this phone is built for gamers. Yes, Battery drains a little fast but 67W fast charger compensates the same and not a big issue. Camera at this price point is not the best but perfectly does the job. Got this phone around 20k after card discount and exchange bonus and found this was a good deal for me. Earlier impression of POCO is not good so i was confused about trusting the brand. But i think i took a good decision to purchase this phone. If you want to buy this phone, mark my word don't think twice and go for it."
POCO_X6_Pro 5G,5,"Was bit sceptic about the camera before buying, but trust me guys it's good enough for daily social media life, on other hand it provides godly performance because of the processor. I can definitely call this mobile true flagship Killer after Poco f1... True successor 🔥"
POCO_X6_Pro 5G,5,"Reviewing for 512 GB storage variant,Great at multitasking and performance.... Below average at camera... But that's something you can compromise with... because except camera it's amazing in performance display battery department... At this price.....truly a successor to POCO F1"
POCO_X6_Pro 5G,5,Great job done by POCO. Again it's time to capture Indian market. Everything looks good like phone.
POCO_X6_Pro 5G,4,"Pros
charging time is excellent
battery is good enough
display is the best you can get at this price range
performance is the best
5g works great
call quality, mic and speakers are good enough
fingerprint sensor is best imo

Cons
battery drains quite fast while doing heavy task like intensive gaming or watching 4k videos
camera is sub par
too much bloatware sigh
phone heats way more than expected in bgmi even at smooth 60 fps it gets really hot that i had to blow air out of my own mouth no kidding

Verdict
Overall it is a great device at this price range but dont expect it to be perfect"
POCO_X6_Pro 5G,5,"First of all i would like to say about performance, its very good and very smooth. Good for heavy usage. No worry to work for office.
Design and look is great and very handy phone. Display is fantastic. Battery need more optimize. Camera is also decent like normal but we have much more features of camera inside the app. Thanks to POCO and flipkart for providing this flagship smartphone. ❤️"
POCO_X6_Pro 5G,5,Switching smartphone from a 10k one to 27k one is definitely a good Feeling 😁💫
POCO_X6_Pro 5G,4,"Actually it's a good performance device, people only defame POCO.
Value for money, I'm happy with the device.
I also have an iphone 15 pro which heats a lot at time of gaming.
Heat issues are a common factor when it comes to performance"
POCO_X6_Pro 5G,5,This is the first review and I should say I just loved this device and it's performance 😍❤️
POCO_X6_Pro 5G,5,"What a superb phone it is, fastest I have ever used, MTK D8300U is the ultimate predator in this price range. Ordered 12/512 GB.
Will update about firmware, camera performance later"
POCO_X6_Pro 5G,4,"Great performance , great display and great for gaming. Camera is not the best but does good. But the 5000 mh battery doesn't feel like 5000. You need to charge the phone twice a day if u are a gamer."
POCO_X6_Pro 5G,4,"Review after 54 days.
It is the best phone according to the price.
Camera 4/5 (price range)
Performance 4/5
Build quality 3/5
HyperOS 3/5
My unit does not have battery drain and heating issues."
POCO_X6_Pro 5G,4,"Should have come with
IP 68 rating,
headphone jack support
or
at least 3.5mm jack to type c adapter and
sd card slot.
Camera needs a lot of improvement."
POCO_X6_Pro 5G,5,Best in the Market. So happy...
POCO_X6_Pro 5G,5,"Best gaming mobile
Camera is decent 😄
Powerfull mobile it's all rounder 👍🏻
Excellent 👌🏻"
POCO_X6_Pro 5G,5,"Powerful gaming phone with awesome display Amazing sound quality and Nice Camera.
I'm happy with my new phone ☺"
POCO_X6_Pro 5G,4,"After using it for almost a month, i really like the phone, whether being it's snappy performance or lustrous display,rich audio. All are as said in the reviews,top notch,batter drain isn't worse but could have been batter, lasts 5 hrs sot, thanks to the incredible bundled fast charger doesn't make it seem like a big con. Yes all who purchased this phone have already convinced ourselves that we aren't gonna get flagship level camera but after buying this phone especially in this silky display,not able to capture the beautiful scenes as we enjoy is painstaking for sure. Below average is the camera. Ui side i liked it really,they have clicked the boxes for all the necessary customisations , always on display and the ability to check and reply on the always on display notifications needs to be implemented. And finding tempered glass which is edge to edge and using back cover is impossible,bid goodbye to either one. To summarise if u have a dslr or another flagship phone with nice cameras go for it .
Ll update in the future."
POCO_X6_Pro 5G,5,"Camera:-pictures Getting blur,i think it's an ois sensor issue....but not at all times sometimes only

Battery:-if you are a bgmi player...you just have only 3.5 or 4 hours... without bgmi you will get 6 or 9 hours playtime

Display:-Simply awesome 💯🤑🤑

Design:-uniq design with leather🤑🤑

Performance:- unleashed performance 🤯🤯🤯i never seen these smoothness high graphics actually iam fan of snapdragon processor but unfortunately I get these poco x6 pro but guy's it worth to buy... trust me"
POCO_X6_Pro 5G,3,Heating issue is there while normal use.
POCO_X6_Pro 5G,5,"Very smooth, very faster⚡, camera above the avarage. It can handle any game. Hyper OS is almost 99% similar as MIUI, No difference. But it's lite. Sound quality extraordinary. Definitely Flag ship mobile"
POCO_X6_Pro 5G,4,Good device but hitting issue
