Product,Rating,Review
SAMSUNG Galaxy S22 5G,4,"Camera and a performance Beast!
Been using it for 10 days now and here's the summary:-

PROS:
-Camera__Nightography is insanely good. Beats iPhone14 and other top flagship phones by far. Portraits are a bliss for the eyes, feels like shot from DSLR.
-Performance__Super smooth performance with 8 gen 1. Can handle any mobile games flawlessly. Played BGMI and Asphalt 9 and there are hardly any frame drops even after an hour.
-Display__Display is too good. Peak brightness is enough and works brilliantly even during noon. Bezels are so slim it feels like holding just the screen.
-Design__In hand feel is Premium. Thought the s22 would be smaller but it actually fits perfectly and probably better than the s22+. Back glass looks super Premium.

CONS
-Battey__It's a big setback for this flagship Beast. Lasts 24hrs only in standby or if you pass half the time not using the phone. Barely lasts 12 hrs with a little bit of camera and ~1hr of gaming. Reason for a less star
-Heating__Heats a lot while playing games or recording videos. Would suggest doing these without a back cover for better performance.

OVERALL it's a steal @39999 just for the camera and performance. I genuinely prefer only these 2 and it doesn't bother me to charge the phone a couple of times or carry a powerbank so the cons are fine by me. But if you want your phone to last for a day or prefer bigger screen/storage there are better options in this price range.

Hope this helps 😃"
SAMSUNG Galaxy S22 5G,4,"Writing this review after a month usage. Bought it in BBD for 38k.
1) Display : top notch, touch is like butter smooth
2) Camera : In better lightimg conditions photos are exceptional while in low light it struggles a bit. Portrait mode is awesome.
3) Battery : i use to charge for 85% and it lasts for a day. Fast charge is superb. Frm 10 - 85% charge, it takes around 50mins. I DON'T FIND NY HEATING ISSUE."
SAMSUNG Galaxy S22 5G,5,best in class
SAMSUNG Galaxy S22 5G,5,Camera is too cool
SAMSUNG Galaxy S22 5G,4,"Everything is great except the battery , doesn't even last 12 hrs or even 8 hrs if used properly, have to charge multiple times 🥲"
SAMSUNG Galaxy S22 5G,5,"Pros:-
1)Size n Design
2)Camera Quality
3)Display
4)Processor
Cons:-
1) Battery life 😑

Day 1 to 3 Battery hardly lasts for 2hr Screen time. I was so afraid and also planned to return the product. But resolved in few steps.

STEP 1:- Use Wifi insted of mobile data.
STEP 2:- Use in Power Saving mode
STEP 3:- Dont use Super Fast charging, Use Fast Charging insted. (CAN change in settings)
Only for a week, then you can change the setting once the battery is set.
STEP 4:- USE only one physical sim(Can use e-sim secondary)....."
SAMSUNG Galaxy S22 5G,4,Camera is super good.... decent performance.... battery drains really fast and heating issue is still there but it has been resolved to some extent
SAMSUNG Galaxy S22 5G,5,"Amazing product under 40k , i like it , FANTASTIC performance, decent phone with great performance, looks,cameras etc."
SAMSUNG Galaxy S22 5G,5,Phone is very Handy and camera Quality is awesome and 16bit Raw click is make this phone killer in this price segment. Due havy processor some time it get heating Issue but it manageable. Over-all Phone performance of this phone is Excellent.
SAMSUNG Galaxy S22 5G,4,Product is good very handy good display but need to improve on battery as it does not last whole day
SAMSUNG Galaxy S22 5G,5,The only drawback is HEATING which causes rapid decrease in battery percentage and ANDROID 13 adds more jolt to it. Hope that company optimises this through a stable update. And for rest this the only thing i need to say (BEAST COMPACT FLAGSHIP)
SAMSUNG Galaxy S22 5G,5,Incredible
SAMSUNG Galaxy S22 5G,4,"Camera 4/5
Display 5/5
Design 4/5
Battery 3/5 You've to charge ur phn 3 times in a day Poor Battery backup.
Performance 4/5 Overall Good 👍"
SAMSUNG Galaxy S22 5G,5,No heating issues after one ui 5.1 update...Beast in all department except battery
SAMSUNG Galaxy S22 5G,5,Good phone.....
SAMSUNG Galaxy S22 5G,5,best camera phone under 40k ..battry issue other wise phone is topnotch
SAMSUNG Galaxy S22 5G,5,"THIS PHONE IS UNBEATABLE IN THIS PRICE RANGE WHETER IT IS IN DESIGN,PERFOMANCE,PROCESSOR AND FEATURES YOU CAN BUY THIS PRODUCT WITHOUT EVEN THINKING !BEST SMARTPHONE🤟👍👌💯💯"
SAMSUNG Galaxy S22 5G,5,Premium one!
SAMSUNG Galaxy S22 5G,5,"I'm a hard-core Android user.. and this phone proves to be excellent in performance. Feels very classy in hand and the size is just perfect for people like me looking for a pocket able phone.. feels just amazing in hand. But.. con: big weakness is the battery.. which lasts 'just about a day'.. at times makes you feel uncomfortable when by evening it drops to 25 odd percent 🤔
But overall.. an excellent phone"
SAMSUNG Galaxy S22 5G,5,This is a great phone...
